from,emergency,country,isocode,items,total,date,photo_url
CHE,"Mali emergency",Mali,MLI,Blankets,8550,2012/10/23,
CHE,"Mali emergency",Mali,MLI,Buckets,2860,2012/10/23,
CHE,"Mali emergency",Mali,MLI,"Jerry cans",5700,2012/10/23,
CHE,"Mali emergency",Mali,MLI,"Kitchen sets",2852,2012/10/23,
CHE,"Mali emergency",Mali,MLI,"Mosquito nets",5700,2012/10/23,
CHE,"Mali emergency",Mali,MLI,"Plastic rolls",57,2012/10/23,
CHE,"Mali emergency",Mali,MLI,"Plastic sheets",2850,2012/10/23,
CHE,"Mali emergency",Mali,MLI,"Sleeping mats",5720,2012/10/23,
CHE,"Mali emergency","Burkina Faso",BFA,Blankets,54600,2012/10/23,
CHE,"Mali emergency","Burkina Faso",BFA,Buckets,13488,2012/10/23,
CHE,"Mali emergency","Burkina Faso",BFA,"Jerry cans",19200,2012/10/23,
CHE,"Mali emergency","Burkina Faso",BFA,"Kitchen sets",16024,2012/10/23,
CHE,"Mali emergency","Burkina Faso",BFA,"Mosquito nets",22800,2012/10/23,
CHE,"Mali emergency","Burkina Faso",BFA,"Plastic rolls",1416,2012/10/23,
CHE,"Mali emergency","Burkina Faso",BFA,"Plastic sheets",49305,2012/10/23,
CHE,"Mali emergency","Burkina Faso",BFA,"Sleeping mats",35920,2012/10/23,
CHE,"Mali emergency","Burkina Faso",BFA,"Tents (Family)",3500,2012/10/23,
CHE,"Mali emergency",Niger,NER,Blankets,40530,2012/10/23,
CHE,"Mali emergency",Niger,NER,Buckets,14600,2012/10/23,http://farm8.staticflickr.com/7081/7334085860_78d4dbb3ec_m.jpg
CHE,"Mali emergency",Niger,NER,"Jerry cans",26800,2012/10/23,
CHE,"Mali emergency",Niger,NER,"Kitchen sets",13920,2012/10/23,
CHE,"Mali emergency",Niger,NER,"Mosquito nets",34520,2012/10/23,
CHE,"Mali emergency",Niger,NER,"Plastic rolls",588,2012/10/23,
CHE,"Mali emergency",Niger,NER,"Plastic sheets",19400,2012/10/23,
CHE,"Mali emergency",Niger,NER,"Sleeping mats",29280,2012/10/23,
CHE,"Mali emergency",Niger,NER,"Tents (Family)",2561,2012/10/23,
CHE,"Mali emergency",Niger,NER,"Prefabricated Warehouses",4,2012/10/23,
CHE,"Mali emergency",Mauritania,MRT,"Jerry cans",4800,2012/10/23,
CHE,"Mali emergency",Mauritania,MRT,"Mosquito nets",800,2012/10/23,
CHE,"Mali emergency",Mauritania,MRT,"Plastic rolls",280,2012/10/23,
CHE,"Mali emergency",Mauritania,MRT,"Sleeping mats",7680,2012/10/23,
CHE,"Mali emergency",Mauritania,MRT,"Tents (Family)",9060,2012/10/23,
CHE,"Mali emergency",Mauritania,MRT,"Prefabricated Warehouses",4,2012/10/23,
CHE,"Syria emergency",Syria,SYR,Blankets,110180,2012/10/23,
CHE,"Syria emergency",Syria,SYR,"Jerry cans",10000,2012/10/23,
CHE,"Syria emergency",Syria,SYR,"Kitchen sets",20544,2012/10/23,
CHE,"Syria emergency",Syria,SYR,"Plastic rolls",504,2012/10/23,
CHE,"Syria emergency",Syria,SYR,"Plastic sheets",5520,2012/10/23,
CHE,"Syria emergency",Syria,SYR,"Sleeping mats",5040,2012/10/23,
CHE,"Syria emergency",Syria,SYR,"Prefabricated Warehouses",4,2012/10/23,
CHE,"Syria emergency",Jordan,JOR,Blankets,120140,2012/10/23,
CHE,"Syria emergency",Jordan,JOR,Buckets,20080,2012/10/23,http://www.flickr.com/photos/unhcr/7928540676/sizes/s/in/photostream/
CHE,"Syria emergency",Jordan,JOR,"Jerry cans",22000,2012/10/23,
CHE,"Syria emergency",Jordan,JOR,"Kitchen sets",14064,2012/10/23,
CHE,"Syria emergency",Jordan,JOR,"Plastic sheets",13000,2012/10/23,
CHE,"Syria emergency",Jordan,JOR,"Sleeping mats",71200,2012/10/23,
